id,dni,nombres,apellido_paterno,apellido_materno,sexo,fecha_nacimiento,nivel,grado,seccion,turno,id_seccion,id_padre,parentesco
1,19251402,Luz Luz,Cabanillas,Gutierrez,F,2020-04-12,Primaria,1,A,Mañana,1,1673,Padre
2,49752094,Franco Manuel,Bautista,Yataco,M,2020-11-05,Primaria,1,A,Mañana,1,1249,Madre
3,24896063,Emilio Ivan,Sanchez,Pacheco,M,2020-02-25,Primaria,1,A,Mañana,1,3052,Padre
4,34949613,Fiorella Paula,Silva,Lazo,F,2020-08-20,Primaria,1,A,Mañana,1,1636,Madre
5,23572314,Estefany Sofia,Bautista,Vega,F,2020-04-13,Primaria,1,A,Mañana,1,1082,Padre
6,63799683,Kevin Kevin,Espinoza,Villanueva,M,2020-08-18,Primaria,1,A,Mañana,1,1448,Madre
7,33315468,Rosa Brenda,Cornejo,Alvarez,F,2020-03-26,Primaria,1,A,Mañana,1,452,Madre
8,41123007,Erick Dylan,Espinoza,Rivera,M,2020-11-08,Primaria,1,A,Mañana,1,3199,Padre
9,27667939,Pedro Angel,Mendoza,Gonzales,M,2020-10-13,Primaria,1,A,Mañana,1,1930,Padre
10,35747303,Benjamin Piero,Vasquez,Alarcon,M,2020-11-24,Primaria,1,A,Mañana,1,2104,Madre
11,72832331,Alberto Piero,Guzman,Bautista,M,2020-11-08,Primaria,1,A,Mañana,1,639,Madre
12,38753010,Diana Diana,Condori,Sanchez,F,2020-04-24,Primaria,1,A,Mañana,1,420,Madre
13,79628200,Ricardo Samuel,Ortiz,Herrera,M,2020-04-05,Primaria,1,A,Mañana,1,1011,Madre
14,33589224,Victor Bryan,Ramos,Villanueva,M,2020-06-08,Primaria,1,A,Mañana,1,1454,Padre
15,39129173,Erick Rodrigo,Herrera,Herrera,M,2020-08-21,Primaria,1,A,Mañana,1,988,Padre
16,13027612,Jhoel Ian,Cutipa,Ochoa,M,2020-06-06,Primaria,1,A,Mañana,1,739,Padre
17,79402329,Alexis Jhon,Bravo,Aquino,M,2020-06-01,Primaria,1,A,Mañana,1,1682,Padre
18,27709056,Ivan Samuel,Flores,Ochoa,M,2020-10-08,Primaria,1,A,Mañana,1,8,Madre
19,75137480,Benjamin Cristian,Ramos,Bautista,M,2020-10-20,Primaria,1,A,Mañana,1,229,Padre
20,79847089,Fabricio Kevin,Cruz,Garcia,M,2020-07-19,Primaria,1,A,Mañana,1,3160,Madre
