id,dni,nombres,apellido_paterno,apellido_materno,sexo,telefono,email,ocupacion
1,71711660,Leonardo Elmer,Villanueva,Bravo,M,996872148,leonardo.villanueva820@gmail.com,Chofer
2,50359574,Thiago Julio,Guzman,Castillo,M,944724866,thiago.guzman19@gmail.com,Ama de casa
3,51381890,Renata Katherine,Rimac,Ccahuana,F,940271898,renata.rimac607@gmail.com,Contador(a)
4,40117672,Fernando Pedro,Reyes,Mamani,M,999392737,fernando.reyes426@gmail.com,Administrador(a)
5,17172582,Ximena Yolanda,Cornejo,Bravo,F,999402316,ximena.cornejo35@gmail.com,Tecnico electricista
6,10788590,Ivan Andres,Gutierrez,Salvador,M,991738848,ivan.gutierrez618@gmail.com,Enfermero(a)
7,10894655,Susan Dulce,Cruz,Rodriguez,F,923192224,susan.cruz675@gmail.com,Personal de seguridad
8,32212123,Renata Estefany,Ramos,Sanchez,F,936352730,renata.ramos169@gmail.com,Administrador(a)
9,27253262,Edgar Raul,Vega,Mendoza,M,904153597,edgar.vega273@gmail.com,Administrador(a)
10,77607712,Jhoana Rafaella,Alvarez,Alarcon,F,965307021,jhoana.alvarez274@gmail.com,Cocinero(a)
11,76732724,Ximena Valentina,Castillo,Ruiz,F,973185127,ximena.castillo729@gmail.com,Chofer
12,17714543,Diego Leonardo,Cabanillas,Nunez,M,965608814,diego.cabanillas985@gmail.com,Independiente
13,29004963,Lucia Kiara,Reyes,Vasquez,F,958515380,lucia.reyes252@gmail.com,Mecanico
14,78520450,Renzo Mateo,Pacheco,Gonzales,M,917296772,renzo.pacheco383@gmail.com,Vendedor(a)
15,30968039,Joaquin Cesar,Medina,Cardenas,M,996344615,joaquin.medina944@gmail.com,Empleado publico
16,11630575,Sofia Vanessa,Herrera,Torres,F,900555151,sofia.herrera438@gmail.com,Policia
17,73261374,Thiago Bryan,Vargas,Yataco,M,916079833,thiago.vargas426@gmail.com,Obrero de construccion
18,69291247,Elmer Piero,Sanchez,Alarcon,M,992450168,elmer.sanchez77@gmail.com,Comerciante ambulante
