id,dni,nombres,apellido_paterno,apellido_materno,sexo,especialidad_principal,telefono,email,fecha_ingreso,condicion_laboral
1,36116972,Alexander Adrian,Aquino,Ticona,M,Comunicacion,962701079,alexander.aquino560@colegio.edu.pe,2012-01-10,Nombrado
2,57949368,Victor Wilson,Garcia,Cabanillas,M,Taller,920599728,victor.garcia229@colegio.edu.pe,2020-10-08,Nombrado
3,51071205,Julia Flor,Mendoza,Diaz,F,Ingles,986628360,julia.mendoza982@colegio.edu.pe,2012-07-17,Contratado
4,13433596,Juan Joaquin,Choque,Yupanqui,M,Matematica,987547517,juan.choque972@colegio.edu.pe,2020-08-17,Nombrado
5,55153375,Walter Martin,Salazar,Cabrera,M,Ingles,979318603,walter.salazar663@colegio.edu.pe,2014-01-19,Nombrado
6,27332847,Renzo Samuel,Herrera,Villanueva,M,Matematica,983822264,renzo.herrera436@colegio.edu.pe,2022-02-12,Contratado
7,45358813,Anthony Rodrigo,Alvarez,Choque,M,Comprension Lectora,977647258,anthony.alvarez494@colegio.edu.pe,2020-02-19,Nombrado
8,22498300,Luana Milagros,Cardenas,Rivera,F,Matematica,975682052,luana.cardenas361@colegio.edu.pe,2022-10-07,Nombrado
9,38780985,Wilson Gustavo,Silva,Vilca,M,Ingles,994948214,wilson.silva99@colegio.edu.pe,2019-12-11,Nombrado
10,77998284,Cristian Juan,Yupanqui,Alvarez,M,Comunicacion,954914524,cristian.yupanqui263@colegio.edu.pe,2011-07-29,Nombrado
11,17692234,Dulce Xiomara,Paredes,Zavala,F,Matematica,913041189,dulce.paredes959@colegio.edu.pe,2018-01-07,Contratado
12,38942204,Ariana Paula,Rojas,Rimac,F,Ciencia y Tecnologia (CTA),997615846,ariana.rojas299@colegio.edu.pe,2018-02-25,Nombrado
13,49854883,Rosa Yolanda,Ccahuana,Palacios,F,Comunicacion,965908538,rosa.ccahuana58@colegio.edu.pe,2012-09-08,Nombrado
14,50566123,Victor Carlos,Reyes,Cornejo,M,Ciencia y Tecnologia (CTA),906925666,victor.reyes246@colegio.edu.pe,2019-08-09,Nombrado
15,63265435,Alberto Oscar,Flores,Cabanillas,M,Arte y Cultura,942300487,alberto.flores428@colegio.edu.pe,2016-01-30,Contratado
16,15101456,Edgar Walter,Sanchez,Aguilar,M,Arte y Cultura,984585003,edgar.sanchez482@colegio.edu.pe,2011-06-21,Nombrado
17,47012142,Erick Ian,Rimac,Apaza,M,Educacion Fisica,953557787,erick.rimac919@colegio.edu.pe,2023-03-09,Contratado
18,10712938,Pedro Edgar,Ochoa,Romero,M,Educacion Religiosa,958602145,pedro.ochoa560@colegio.edu.pe,2016-02-09,Nombrado
19,51165991,Ian Luis,Farfan,Cardenas,M,Ingles,990668828,ian.farfan108@colegio.edu.pe,2012-01-30,Nombrado
20,35471405,Elena Ximena,Fernandez,Campos,F,Matematica,924484526,elena.fernandez194@colegio.edu.pe,2024-04-15,Nombrado
21,13961138,Estefany Susan,Farfan,Ruiz,F,Arte y Cultura,925822018,estefany.farfan684@colegio.edu.pe,2024-08-04,Nombrado
22,30699871,Luz Yesenia,Carrillo,Cardenas,F,Arte y Cultura,999321571,luz.carrillo895@colegio.edu.pe,2011-10-21,Contratado
23,76941011,Nicole Patricia,Gutierrez,Choque,F,Educacion Religiosa,918835795,nicole.gutierrez85@colegio.edu.pe,2011-09-17,Nombrado
24,53621033,Xiomara Patricia,Fernandez,Espinoza,F,Comprension Lectora,968855765,xiomara.fernandez181@colegio.edu.pe,2014-07-27,Contratado
25,61221192,Samuel Marco,Choque,Choque,M,Educacion Civica,932792645,samuel.choque856@colegio.edu.pe,2012-10-21,Contratado
26,45994093,Abigail Dulce,Leon,Fernandez,F,Comprension Lectora,935281449,abigail.leon470@colegio.edu.pe,2024-05-13,Contratado
27,22751501,Rosa Ximena,Ccahuana,Ochoa,F,Ciencia y Tecnologia (CTA),978836550,rosa.ccahuana946@colegio.edu.pe,2019-02-16,Nombrado
28,65649686,Adrian Hugo,Paredes,Reyes,M,Ciencia y Tecnologia (CTA),977500314,adrian.paredes335@colegio.edu.pe,2010-07-24,Nombrado
29,35186307,Vanessa Alexandra,Ticona,Ramos,F,Arte y Cultura,980125373,vanessa.ticona621@colegio.edu.pe,2013-12-29,Contratado
30,24503016,Julio Jhoel,Cornejo,Vilca,M,Comprension Lectora,904602883,julio.cornejo967@colegio.edu.pe,2020-09-20,Contratado
31,53893672,Susan Isabel,Villanueva,Paredes,F,Educacion Religiosa,940720754,susan.villanueva857@colegio.edu.pe,2020-08-13,Nombrado
32,17272944,Alexandra Vanessa,Rimac,Carrillo,F,Educacion Fisica,961884791,alexandra.rimac874@colegio.edu.pe,2021-08-04,Contratado
33,20478103,Isabel Alessandra,Condori,Apaza,F,Comprension Lectora,982488619,isabel.condori220@colegio.edu.pe,2010-10-23,Contratado
34,78945163,Fernando Piero,Bautista,Salvador,M,Comprension Lectora,934728556,fernando.bautista546@colegio.edu.pe,2023-12-18,Nombrado
35,18197733,Elmer Hugo,Romero,Castillo,M,Comprension Lectora,904422485,elmer.romero132@colegio.edu.pe,2020-06-02,Nombrado
36,75732098,Marco Juan,Alvarez,Romero,M,Educacion Civica,980438581,marco.alvarez477@colegio.edu.pe,2019-04-15,Nombrado
37,11015315,Diana Grecia,Bautista,Garcia,F,Educacion Religiosa,901594502,diana.bautista516@colegio.edu.pe,2014-06-15,Nombrado
38,40152415,Alessandra Estefany,Medina,Ruiz,F,Educacion Fisica,973528667,alessandra.medina877@colegio.edu.pe,2018-04-23,Nombrado
39,74667003,Paula Ashley,Leon,Vilca,F,Ingles,913311592,paula.leon118@colegio.edu.pe,2014-01-09,Nombrado
40,46068525,Lucia Estefany,Flores,Ibarra,F,Comprension Lectora,945607874,lucia.flores861@colegio.edu.pe,2018-02-08,Contratado
41,58183454,Cesar Benjamin,Castillo,Vilca,M,Educacion Fisica,976990854,cesar.castillo991@colegio.edu.pe,2011-12-06,Contratado
42,47059680,Susan Teresa,Salvador,Salvador,F,Comunicacion,940190187,susan.salvador578@colegio.edu.pe,2012-08-08,Contratado
43,52736672,Nicole Brenda,Cabanillas,Huaman,F,Comprension Lectora,920161284,nicole.cabanillas19@colegio.edu.pe,2011-03-14,Nombrado
44,73187140,Ivan Leonardo,Ccahuana,Romero,M,Taller,935736385,ivan.ccahuana429@colegio.edu.pe,2011-02-02,Contratado
45,73929344,Elmer Alberto,Leon,Herrera,M,Comunicacion,996780736,elmer.leon748@colegio.edu.pe,2010-12-04,Contratado
46,67943072,Gonzalo Sebastian,Cornejo,Vega,M,Taller,990598281,gonzalo.cornejo577@colegio.edu.pe,2018-06-05,Nombrado
47,24181213,Hugo Pedro,Marin,Rimac,M,Comunicacion,966033042,hugo.marin538@colegio.edu.pe,2016-02-20,Contratado
48,25527561,Mateo Pedro,Rojas,Cardenas,M,Arte y Cultura,978057803,mateo.rojas667@colegio.edu.pe,2024-10-07,Contratado
49,37460898,Gonzalo Jorge,Ruiz,Torres,M,Taller,904907418,gonzalo.ruiz172@colegio.edu.pe,2022-06-10,Nombrado
50,62744893,Luana Ana,Cabanillas,Yupanqui,F,Educacion Fisica,971300668,luana.cabanillas92@colegio.edu.pe,2020-01-21,Nombrado
51,55243717,Sebastian Pedro,Vilca,Medina,M,Arte y Cultura,964271051,sebastian.vilca766@colegio.edu.pe,2013-01-31,Nombrado
